id;supplier_name;address;city;contact_email;contact_phone
1;Croatian Springs Cambridgeshire;International Seychelles;Hoover;Fantastic array;Soft Avon world-class
2;Soft Account;Optimization Pula leverage;Rancho Santa Margarita;Investor navigate grid-enabled;ADP
3;payment Connecticut Chief;methodical Granite hardware;Brendonton;Bahamian Advanced;generate Principal
4;Ball;Soap Open-source Shirt;South Andreanne;Markets;granular
5;Account e-business pixel;Hawaii XSS Alaska;West Martyville;Focused Associate adapter;Steel Tools
6;Account intranet Keyboard;transmit Bedfordshire;Nienowview;Auto;Forward backing Baby
7;Lesotho compress;Tobago;East Addisonchester;Music;Fresh
8;Wooden Austria USB;Cambridgeshire Cambridgeshire bleeding-edge;Daltonfurt;sexy;Flat calculating
9;orange withdrawal Account;integrated Fish;New Nathanialborough;visualize;teal Wooden Shilling
10;Games Camp;application Sleek;Haliefurt;bandwidth Dram connecting;virtual
